,Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeResult,AwayResult,scoredhome,scoredaway,concededhome,concededaway,winshome,winsaway
0,16/08/03,Arsenal,Everton,2,1,1.0,0.0,2,1,1,2,1.0,0.0
1,16/08/03,Birmingham,Tottenham,1,0,1.0,0.0,1,0,0,1,1.0,0.0
2,16/08/03,Blackburn,Wolves,5,1,1.0,0.0,5,1,1,5,1.0,0.0
3,16/08/03,Fulham,Middlesbrough,3,2,1.0,0.0,3,2,2,3,1.0,0.0
4,16/08/03,Leicester,Southampton,2,2,0.5,0.5,2,2,2,2,0.5,0.5
5,16/08/03,Man United,Bolton,4,0,1.0,0.0,4,0,0,4,1.0,0.0
6,16/08/03,Portsmouth,Aston Villa,2,1,1.0,0.0,2,1,1,2,1.0,0.0
7,17/08/03,Charlton,Man City,0,3,0.0,1.0,0,3,3,0,0.0,1.0
8,17/08/03,Leeds,Newcastle,2,2,0.5,0.5,2,2,2,2,0.5,0.5
9,17/08/03,Liverpool,Chelsea,1,2,0.0,1.0,1,2,2,1,0.0,1.0
10,23/08/03,Bolton,Blackburn,2,2,0.5,0.5,2,2,2,2,0.5,0.5
11,23/08/03,Chelsea,Leicester,2,1,1.0,0.0,2,1,1,2,1.0,0.0
12,23/08/03,Everton,Fulham,3,1,1.0,0.0,3,1,1,3,1.0,0.0
13,23/08/03,Man City,Portsmouth,1,1,0.5,0.5,1,1,1,1,0.5,0.5
14,23/08/03,Newcastle,Man United,1,2,0.0,1.0,1,2,2,1,0.0,1.0
15,23/08/03,Southampton,Birmingham,0,0,0.5,0.5,0,0,0,0,0.5,0.5
16,23/08/03,Tottenham,Leeds,2,1,1.0,0.0,2,1,1,2,1.0,0.0
17,23/08/03,Wolves,Charlton,0,4,0.0,1.0,0,4,4,0,0.0,1.0
18,24/08/03,Aston Villa,Liverpool,0,0,0.5,0.5,0,0,0,0,0.5,0.5
19,24/08/03,Middlesbrough,Arsenal,0,4,0.0,1.0,0,4,4,0,0.0,1.0
20,25/08/03,Blackburn,Man City,2,3,0.0,1.0,7,6,4,2,1.0,2.0
21,26/08/03,Charlton,Everton,2,2,0.5,0.5,2,3,5,4,0.5,0.5
22,26/08/03,Leeds,Southampton,0,0,0.5,0.5,2,2,2,2,1.0,1.0
23,26/08/03,Leicester,Middlesbrough,0,0,0.5,0.5,2,2,2,3,1.0,0.5
24,26/08/03,Portsmouth,Bolton,4,0,1.0,0.0,6,0,1,8,2.0,0.0
