,Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeResult,AwayResult,scoredhome,scoredaway,concededhome,concededaway,winshome,winsaway
67,02/10/11,Swansea,Stoke,2,0,1.0,0.0,5,2,0,7,3.0,1.5
68,02/10/11,Tottenham,Arsenal,2,1,1.0,0.0,7,6,6,14,2.0,0.5
69,15/10/11,Chelsea,Everton,3,1,1.0,0.0,12,2,4,5,4.0,1.0
70,15/10/11,Liverpool,Man United,1,1,0.5,0.5,7,9,4,3,3.0,3.0
71,15/10/11,Man City,Aston Villa,4,1,1.0,0.0,13,4,1,7,4.0,1.5
72,15/10/11,Norwich,Swansea,3,1,1.0,0.0,6,2,4,12,2.5,0.0
73,15/10/11,QPR,Blackburn,1,1,0.5,0.5,2,4,6,8,1.5,1.0
74,15/10/11,Stoke,Fulham,2,0,1.0,0.0,4,1,1,6,3.0,0.5
75,15/10/11,Wigan,Bolton,1,3,0.0,1.0,5,8,6,7,1.5,2.0
76,16/10/11,Arsenal,Sunderland,2,1,1.0,0.0,6,3,3,5,3.0,1.0
77,16/10/11,Newcastle,Tottenham,2,2,0.5,0.5,7,6,4,6,3.0,2.5
78,16/10/11,West Brom,Wolves,2,0,1.0,0.0,3,3,3,5,1.5,1.5
79,22/10/11,Aston Villa,West Brom,1,2,0.0,1.0,7,6,4,8,3.0,2.5
80,22/10/11,Bolton,Sunderland,0,2,0.0,1.0,4,5,17,5,0.0,2.0
81,22/10/11,Liverpool,Norwich,1,1,0.5,0.5,8,5,5,8,3.5,2.0
82,22/10/11,Newcastle,Wigan,1,0,1.0,0.0,8,1,4,9,4.0,0.5
83,22/10/11,Wolves,Swansea,2,2,0.5,0.5,5,4,9,14,1.5,0.5
84,23/10/11,Arsenal,Stoke,3,1,1.0,0.0,9,3,4,10,4.0,1.5
85,23/10/11,Blackburn,Tottenham,1,2,0.0,1.0,6,8,12,7,1.0,3.5
86,23/10/11,Fulham,Everton,1,3,0.0,1.0,10,5,6,6,2.5,2.0
87,23/10/11,Man United,Man City,1,6,0.0,1.0,17,20,9,6,4.0,4.5
88,23/10/11,QPR,Chelsea,1,0,1.0,0.0,3,8,6,6,2.5,2.5
89,29/10/11,Chelsea,Arsenal,3,5,0.0,1.0,15,11,9,17,4.0,1.5
90,29/10/11,Everton,Man United,0,1,0.0,1.0,5,10,7,3,1.5,4.0
91,29/10/11,Man City,Wolves,3,1,1.0,0.0,16,4,2,8,5.0,1.5
92,29/10/11,Norwich,Blackburn,3,3,0.5,0.5,9,7,7,11,3.0,1.5
93,29/10/11,Sunderland,Aston Villa,2,2,0.5,0.5,9,6,7,9,2.0,2.0
94,29/10/11,Swansea,Bolton,3,1,1.0,0.0,8,9,1,10,4.0,2.0
95,29/10/11,West Brom,Liverpool,0,2,0.0,1.0,3,6,5,5,1.5,3.0
96,29/10/11,Wigan,Fulham,0,2,0.0,1.0,5,3,8,6,1.5,1.5
97,30/10/11,Tottenham,QPR,3,1,1.0,0.0,10,5,7,11,3.0,2.0
98,31/10/11,Stoke,Newcastle,1,3,0.0,1.0,5,7,4,3,3.0,4.0
99,05/11/11,Arsenal,West Brom,3,0,1.0,0.0,12,6,4,11,5.0,2.5
100,05/11/11,Aston Villa,Norwich,3,2,1.0,0.0,10,7,6,11,4.0,2.0
101,05/11/11,Blackburn,Chelsea,0,1,0.0,1.0,6,9,13,6,1.0,3.5
102,05/11/11,Liverpool,Swansea,0,0,0.5,0.5,8,4,5,14,4.0,1.0
103,05/11/11,Man United,Sunderland,1,0,1.0,0.0,18,5,9,6,5.0,2.0
104,05/11/11,Newcastle,Everton,2,1,1.0,0.0,10,6,5,8,5.0,2.0
105,05/11/11,QPR,Man City,2,3,0.0,1.0,5,23,9,8,2.5,5.5
106,06/11/11,Bolton,Stoke,5,0,1.0,0.0,9,3,17,15,1.0,1.5
107,06/11/11,Fulham,Tottenham,1,3,0.0,1.0,11,11,9,8,2.5,4.5
108,06/11/11,Wolves,Wigan,3,1,1.0,0.0,8,2,10,12,2.5,0.5
109,19/11/11,Everton,Wolves,2,1,1.0,0.0,7,5,8,10,2.5,1.5
110,19/11/11,Man City,Newcastle,3,1,1.0,0.0,19,8,3,6,6.0,4.0
111,19/11/11,Norwich,Arsenal,1,2,0.0,1.0,10,13,9,18,3.0,2.5
112,19/11/11,Stoke,QPR,2,3,0.0,1.0,7,8,7,13,3.0,3.0
113,19/11/11,Sunderland,Fulham,0,0,0.5,0.5,9,3,7,6,2.5,2.0
114,19/11/11,Swansea,Man United,0,1,0.0,1.0,8,11,2,3,4.0,5.0
115,19/11/11,West Brom,Bolton,2,1,1.0,0.0,5,10,6,12,2.5,2.0
116,19/11/11,Wigan,Blackburn,3,3,0.5,0.5,8,10,11,14,2.0,2.0
117,20/11/11,Chelsea,Liverpool,1,2,0.0,1.0,16,8,11,6,4.0,4.0
118,21/11/11,Tottenham,Aston Villa,2,0,1.0,0.0,12,6,7,11,4.0,2.0
119,26/11/11,Arsenal,Fulham,1,1,0.5,0.5,13,4,5,7,5.5,2.5
120,26/11/11,Bolton,Everton,0,2,0.0,1.0,9,8,19,8,1.0,3.0
121,26/11/11,Chelsea,Wolves,3,0,1.0,0.0,19,5,11,13,5.0,1.5
122,26/11/11,Man United,Newcastle,1,1,0.5,0.5,19,9,10,7,5.5,4.5
123,26/11/11,Norwich,QPR,2,1,1.0,0.0,12,9,10,15,4.0,3.0
124,26/11/11,Stoke,Blackburn,3,1,1.0,0.0,10,11,8,17,4.0,2.0
125,26/11/11,Sunderland,Wigan,1,2,0.0,1.0,10,4,9,13,2.5,1.5
126,26/11/11,West Brom,Tottenham,1,3,0.0,1.0,6,14,9,9,2.5,5.5
127,27/11/11,Liverpool,Man City,1,1,0.5,0.5,9,24,6,9,4.5,6.0
