,Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeResult,AwayResult,scoredhome,scoredaway,concededhome,concededaway,winshome,winsaway
0,11/08/07,Aston Villa,Liverpool,1,2,0.0,1.0,1,2,2,1,0.0,1.0
1,11/08/07,Bolton,Newcastle,1,3,0.0,1.0,1,3,3,1,0.0,1.0
2,11/08/07,Derby,Portsmouth,2,2,0.5,0.5,2,2,2,2,0.5,0.5
3,11/08/07,Everton,Wigan,2,1,1.0,0.0,2,1,1,2,1.0,0.0
4,11/08/07,Middlesbrough,Blackburn,1,2,0.0,1.0,1,2,2,1,0.0,1.0
5,11/08/07,Sunderland,Tottenham,1,0,1.0,0.0,1,0,0,1,1.0,0.0
6,11/08/07,West Ham,Man City,0,2,0.0,1.0,0,2,2,0,0.0,1.0
7,12/08/07,Arsenal,Fulham,2,1,1.0,0.0,2,1,1,2,1.0,0.0
8,12/08/07,Chelsea,Birmingham,3,2,1.0,0.0,3,2,2,3,1.0,0.0
9,12/08/07,Man United,Reading,0,0,0.5,0.5,0,0,0,0,0.5,0.5
10,14/08/07,Tottenham,Everton,1,3,0.0,1.0,1,3,3,1,0.0,1.0
11,15/08/07,Birmingham,Sunderland,2,2,0.5,0.5,2,2,2,2,0.5,0.5
12,15/08/07,Fulham,Bolton,2,1,1.0,0.0,2,1,1,2,1.0,0.0
13,15/08/07,Man City,Derby,1,0,1.0,0.0,1,0,0,1,1.0,0.0
14,15/08/07,Portsmouth,Man United,1,1,0.5,0.5,1,1,1,1,0.5,0.5
15,15/08/07,Reading,Chelsea,1,2,0.0,1.0,1,2,2,1,0.0,1.0
16,15/08/07,Wigan,Middlesbrough,1,0,1.0,0.0,1,0,0,1,1.0,0.0
17,18/08/07,Birmingham,West Ham,0,1,0.0,1.0,2,1,3,0,0.5,1.0
18,18/08/07,Fulham,Middlesbrough,1,2,0.0,1.0,3,2,3,2,1.0,1.0
19,18/08/07,Newcastle,Aston Villa,0,0,0.5,0.5,0,0,0,0,0.5,0.5
20,18/08/07,Portsmouth,Bolton,3,1,1.0,0.0,4,2,2,5,1.5,0.0
21,18/08/07,Reading,Everton,1,0,1.0,0.0,2,3,2,2,1.0,1.0
22,18/08/07,Tottenham,Derby,4,0,1.0,0.0,5,0,3,5,1.0,0.0
23,18/08/07,Wigan,Sunderland,3,0,1.0,0.0,4,2,0,5,2.0,0.5
24,19/08/07,Blackburn,Arsenal,1,1,0.5,0.5,1,1,1,1,0.5,0.5
25,19/08/07,Liverpool,Chelsea,1,1,0.5,0.5,1,3,1,2,0.5,1.5
26,19/08/07,Man City,Man United,1,0,1.0,0.0,2,1,0,2,2.0,0.5
27,25/08/07,Arsenal,Man City,1,0,1.0,0.0,3,2,1,1,2.0,1.0
28,25/08/07,Aston Villa,Fulham,2,1,1.0,0.0,3,2,3,4,1.0,0.0
29,25/08/07,Bolton,Reading,3,0,1.0,0.0,4,0,3,3,1.0,0.5
30,25/08/07,Chelsea,Portsmouth,1,0,1.0,0.0,4,2,2,3,2.0,0.5
31,25/08/07,Derby,Birmingham,1,2,0.0,1.0,3,4,4,4,0.5,1.0
32,25/08/07,Everton,Blackburn,1,1,0.5,0.5,3,3,2,2,1.5,1.5
33,25/08/07,Sunderland,Liverpool,0,2,0.0,1.0,1,4,2,1,1.0,2.0
34,25/08/07,West Ham,Wigan,1,1,0.5,0.5,1,2,3,3,0.5,0.5
35,26/08/07,Man United,Tottenham,1,0,1.0,0.0,1,0,0,2,1.5,0.0
36,26/08/07,Middlesbrough,Newcastle,2,2,0.5,0.5,3,5,4,3,0.5,1.5
37,01/09/07,Bolton,Everton,1,2,0.0,1.0,5,5,5,3,1.0,2.0
38,01/09/07,Fulham,Tottenham,3,3,0.5,0.5,6,3,6,5,1.5,0.5
39,01/09/07,Liverpool,Derby,6,0,1.0,0.0,7,0,1,11,1.5,0.0
40,01/09/07,Man United,Sunderland,1,0,1.0,0.0,2,2,0,6,2.5,0.5
41,01/09/07,Middlesbrough,Birmingham,2,0,1.0,0.0,5,4,4,6,1.5,1.0
42,01/09/07,Newcastle,Wigan,1,0,1.0,0.0,1,2,0,4,1.5,0.5
43,01/09/07,Reading,West Ham,0,3,0.0,1.0,2,4,5,0,1.0,2.0
44,02/09/07,Arsenal,Portsmouth,3,1,1.0,0.0,6,3,2,6,3.0,0.5
45,02/09/07,Aston Villa,Chelsea,2,0,1.0,0.0,5,3,3,4,2.0,1.5
46,02/09/07,Blackburn,Man City,1,0,1.0,0.0,2,2,1,2,1.5,1.0
47,15/09/07,Birmingham,Bolton,1,0,1.0,0.0,3,2,3,6,1.5,0.0
48,15/09/07,Chelsea,Blackburn,0,0,0.5,0.5,4,3,2,2,2.5,2.0
49,15/09/07,Everton,Man United,0,1,0.0,1.0,3,2,3,2,1.5,1.5
50,15/09/07,Portsmouth,Liverpool,0,0,0.5,0.5,4,4,2,1,2.0,2.5
51,15/09/07,Sunderland,Reading,2,1,1.0,0.0,3,1,3,5,2.0,0.5
52,15/09/07,Tottenham,Arsenal,1,3,0.0,1.0,6,4,6,2,1.0,1.5
53,15/09/07,West Ham,Middlesbrough,3,0,1.0,0.0,4,2,3,5,1.5,1.0
54,15/09/07,Wigan,Fulham,1,1,0.5,0.5,5,3,1,5,2.5,0.5
55,16/09/07,Man City,Aston Villa,1,0,1.0,0.0,3,0,0,1,3.0,0.5
56,17/09/07,Derby,Newcastle,1,0,1.0,0.0,4,5,4,4,1.5,1.5
57,22/09/07,Arsenal,Derby,5,0,1.0,0.0,11,0,2,16,4.0,0.0
58,22/09/07,Fulham,Man City,3,3,0.5,0.5,9,5,9,5,2.0,1.5
59,22/09/07,Liverpool,Birmingham,0,0,0.5,0.5,7,4,1,6,2.0,1.5
60,22/09/07,Middlesbrough,Sunderland,2,2,0.5,0.5,7,4,6,8,2.0,1.0
61,22/09/07,Reading,Wigan,2,1,1.0,0.0,4,3,6,6,2.0,0.5
62,23/09/07,Aston Villa,Everton,2,0,1.0,0.0,7,5,3,5,3.0,2.0
63,23/09/07,Blackburn,Portsmouth,0,1,0.0,1.0,2,4,2,6,1.5,1.5
64,23/09/07,Bolton,Tottenham,1,1,0.5,0.5,6,4,6,6,1.5,1.0
65,23/09/07,Man United,Chelsea,2,0,1.0,0.0,4,3,0,6,3.5,1.5
66,23/09/07,Newcastle,West Ham,3,1,1.0,0.0,4,5,1,3,2.5,2.0
67,29/09/07,Birmingham,Man United,0,1,0.0,1.0,3,3,4,2,1.5,2.5
68,29/09/07,Chelsea,Fulham,0,0,0.5,0.5,4,3,2,5,3.0,1.0
69,29/09/07,Derby,Bolton,1,1,0.5,0.5,5,3,5,7,2.0,0.5
70,29/09/07,Man City,Newcastle,3,1,1.0,0.0,6,6,1,7,4.0,1.5
71,29/09/07,Portsmouth,Reading,7,4,1.0,0.0,11,5,6,12,3.0,0.5
72,29/09/07,Sunderland,Blackburn,1,2,0.0,1.0,4,5,5,3,2.0,3.0
73,29/09/07,West Ham,Arsenal,0,1,0.0,1.0,4,5,4,2,1.5,2.5
74,29/09/07,Wigan,Liverpool,0,1,0.0,1.0,5,5,2,1,2.5,3.5
75,30/09/07,Everton,Middlesbrough,2,0,1.0,0.0,5,2,3,7,2.5,1.0
76,01/10/07,Tottenham,Aston Villa,4,4,0.5,0.5,10,4,10,5,1.5,1.0
77,06/10/07,Aston Villa,West Ham,1,0,1.0,0.0,8,5,3,4,4.0,2.0
78,06/10/07,Man United,Wigan,4,0,1.0,0.0,8,3,0,10,4.5,0.5
79,07/10/07,Arsenal,Sunderland,3,2,1.0,0.0,14,6,4,11,5.0,1.0
80,07/10/07,Blackburn,Birmingham,2,1,1.0,0.0,4,5,3,8,2.5,1.5
81,07/10/07,Bolton,Chelsea,0,1,0.0,1.0,6,4,7,6,1.5,2.5
82,07/10/07,Fulham,Portsmouth,0,2,0.0,1.0,9,6,11,6,2.0,2.5
83,07/10/07,Liverpool,Tottenham,2,2,0.5,0.5,9,6,3,8,2.5,1.5
84,07/10/07,Man City,Middlesbrough,3,1,1.0,0.0,9,3,2,10,5.0,1.0
85,07/10/07,Newcastle,Everton,3,2,1.0,0.0,7,7,3,8,3.5,2.0
86,07/10/07,Reading,Derby,1,0,1.0,0.0,5,0,6,17,3.0,0.0
87,20/10/07,Arsenal,Bolton,2,0,1.0,0.0,16,3,4,9,6.0,0.5
88,20/10/07,Aston Villa,Man United,1,4,0.0,1.0,9,7,7,3,4.0,3.5
89,20/10/07,Blackburn,Reading,4,2,1.0,0.0,8,7,5,16,3.5,0.5
90,20/10/07,Everton,Liverpool,1,2,0.0,1.0,6,7,5,2,2.5,4.5
91,20/10/07,Fulham,Derby,0,0,0.5,0.5,9,0,11,17,2.5,0.5
92,20/10/07,Man City,Birmingham,1,0,1.0,0.0,10,5,2,9,6.0,1.5
93,20/10/07,Middlesbrough,Chelsea,0,2,0.0,1.0,7,6,8,6,2.0,3.5
94,20/10/07,Wigan,Portsmouth,0,2,0.0,1.0,5,8,4,6,2.5,3.5
95,21/10/07,West Ham,Sunderland,3,1,1.0,0.0,7,7,5,14,2.5,1.0
96,22/10/07,Newcastle,Tottenham,3,1,1.0,0.0,10,7,4,11,4.5,1.5
97,27/10/07,Birmingham,Wigan,3,2,1.0,0.0,6,5,6,13,2.5,0.5
98,27/10/07,Chelsea,Man City,6,0,1.0,0.0,10,5,2,11,4.0,1.5
99,27/10/07,Man United,Middlesbrough,4,1,1.0,0.0,12,4,1,14,5.5,1.0
100,27/10/07,Portsmouth,West Ham,0,0,0.5,0.5,11,5,6,4,3.5,2.5
101,27/10/07,Reading,Newcastle,2,1,1.0,0.0,7,7,7,9,4.0,1.5
102,27/10/07,Sunderland,Fulham,1,1,0.5,0.5,5,4,6,6,2.5,1.5
103,28/10/07,Bolton,Aston Villa,1,1,0.5,0.5,7,5,8,6,2.0,1.5
104,28/10/07,Derby,Everton,0,2,0.0,1.0,5,9,7,8,2.0,3.0
105,28/10/07,Liverpool,Arsenal,1,1,0.5,0.5,10,6,4,3,3.0,3.0
106,28/10/07,Tottenham,Blackburn,1,2,0.0,1.0,11,7,12,4,1.5,4.0
107,03/11/07,Arsenal,Man United,2,2,0.5,0.5,18,9,6,5,6.5,4.0
108,03/11/07,Aston Villa,Derby,2,0,1.0,0.0,11,0,7,19,5.0,0.5
