team,total_shots,total_on_target,shot_acc
Arsenal,654,238,36.3914373088685
Aston Villa,506,165,32.6086956521739
Birmingham,401,121,30.1745635910224
Blackburn,453,135,29.8013245033113
Blackpool,531,161,30.3201506591337
Bolton,570,173,30.3508771929825
Chelsea,745,244,32.751677852349
Everton,580,181,31.2068965517241
Fulham,547,172,31.4442413162706
Liverpool,582,205,35.2233676975945
Man City,546,177,32.4175824175824
Man United,618,212,34.3042071197411
Newcastle,507,168,33.1360946745562
Stoke,482,143,29.6680497925311
Sunderland,532,154,28.9473684210526
Tottenham,657,191,29.0715372907154
West Brom,597,184,30.820770519263
West Ham,572,174,30.4195804195804
Wigan,511,170,33.2681017612524
Wolves,459,139,30.2832244008715
