team,total+AF8-shots,total+AF8-on+AF8-target,shot+AF8-acc
Arsenal,339,170,50.1474926253687
Bournemouth,338,163,48.2248520710059
Brighton and Hove Albion,282,108,38.2978723404255
Burnley,271,116,42.8044280442804
Cardiff City,305,126,41.3114754098361
Chelsea,408,198,48.5294117647059
Crystal Palace,354,148,41.8079096045198
Everton,358,169,47.2067039106145
Fulham,338,146,43.1952662721894
Huddersfield Town,286,118,41.2587412587413
Leicester City,382,184,48.1675392670157
Liverpool,434,226,52.073732718894
Manchester City,489,260,53.1697341513292
Manchester United,396,225,56.8181818181818
Newcastle United,328,142,43.2926829268293
Southampton,345,162,46.9565217391304
Tottenham Hotspur,395,190,48.1012658227848
Watford,309,152,49.1909385113269
West Ham United,327,157,48.0122324159021
Wolverhampton Wanderers,359,152,42.3398328690808
