team,total_shots,total_on_target,shot_acc
Arsenal,591,233,39.424703891708965
Bournemouth,466,157,33.69098712446352
Brighton,383,118,30.809399477806785
Burnley,379,127,33.50923482849604
Chelsea,606,220,36.303630363036305
Crystal Palace,475,151,31.789473684210527
Everton,360,122,33.88888888888889
Huddersfield,360,111,30.833333333333336
Leicester,422,148,35.07109004739337
Liverpool,640,233,36.40625
Man City,664,261,39.30722891566265
Man United,513,181,35.28265107212476
Newcastle,449,150,33.4075723830735
Southampton,451,145,32.15077605321508
Stoke,382,131,34.29319371727749
Swansea,336,104,30.952380952380953
Tottenham,622,217,34.88745980707396
Watford,440,132,30.0
West Brom,375,114,30.4
West Ham,373,133,35.656836461126005
