team,total_shots,total_on_target,shot_acc
Arsenal,479,299,62.421711899791234
Aston Villa,397,207,52.141057934508815
Birmingham,359,179,49.86072423398329
Blackburn,435,210,48.275862068965516
Bolton,480,254,52.916666666666664
Charlton,315,173,54.920634920634924
Chelsea,533,304,57.035647279549714
Crystal Palace,342,182,53.216374269005854
Everton,382,185,48.42931937172775
Fulham,350,183,52.28571428571429
Liverpool,490,241,49.183673469387756
Man City,400,210,52.5
Man United,617,334,54.13290113452188
Middlesbrough,452,259,57.30088495575221
Newcastle,485,255,52.57731958762887
Norwich,365,183,50.136986301369866
Portsmouth,380,191,50.26315789473684
Southampton,384,189,49.21875
Tottenham,455,249,54.72527472527473
West Brom,341,183,53.665689149560116
