team,total_shots,total_on_target,shot_acc
Arsenal,565,200,35.39823008849557
Bournemouth,446,160,35.874439461883405
Burnley,390,120,30.76923076923077
Chelsea,580,204,35.172413793103445
Crystal Palace,438,138,31.506849315068493
Everton,498,192,38.55421686746988
Hull,396,127,32.07070707070707
Leicester,432,145,33.56481481481482
Liverpool,638,236,36.990595611285265
Man City,633,217,34.28120063191153
Man United,589,210,35.653650254668925
Middlesbrough,349,100,28.653295128939828
Southampton,548,179,32.66423357664234
Stoke,426,137,32.159624413145536
Sunderland,387,121,31.266149870801037
Swansea,390,146,37.43589743589744
Tottenham,669,257,38.41554559043348
Watford,419,144,34.36754176610978
West Brom,400,123,30.75
West Ham,496,138,27.82258064516129
