team,total_shots,total_on_target,shot_acc
Arsenal,530,289,54.52830188679245
Aston Villa,414,221,53.3816425120773
Birmingham,349,189,54.15472779369628
Blackburn,448,237,52.90178571428571
Bolton,390,219,56.15384615384615
Chelsea,497,270,54.32595573440644
Derby,335,182,54.328358208955216
Everton,420,234,55.714285714285715
Fulham,384,206,53.645833333333336
Liverpool,607,320,52.71828665568369
Man City,374,204,54.54545454545454
Man United,620,353,56.935483870967744
Middlesbrough,412,231,56.067961165048544
Newcastle,415,221,53.25301204819277
Portsmouth,501,267,53.293413173652695
Reading,369,191,51.76151761517615
Sunderland,401,209,52.119700748129674
Tottenham,493,288,58.41784989858012
West Ham,426,223,52.347417840375584
Wigan,398,192,48.24120603015075
