team,total_shots,total_on_target,shot_acc
Arsenal,637,236,37.0486656200942
Aston Villa,438,138,31.5068493150685
Blackburn,453,143,31.5673289183223
Bolton,495,163,32.9292929292929
Chelsea,671,224,33.3830104321908
Everton,520,164,31.5384615384615
Fulham,541,195,36.0443622920518
Liverpool,667,207,31.0344827586207
Man City,738,250,33.8753387533875
Man United,646,243,37.6160990712074
Newcastle,489,154,31.4928425357873
Norwich,514,164,31.9066147859922
QPR,539,150,27.8293135435993
Stoke,376,94,25
Sunderland,458,141,30.7860262008734
Swansea,472,145,30.7203389830508
Tottenham,701,230,32.8102710413695
West Brom,544,167,30.6985294117647
Wigan,519,162,31.2138728323699
Wolves,473,152,32.1353065539112
