team,total_shots,total_on_target,shot_acc
Arsenal,597,205,34.3383584589615
Aston Villa,438,141,32.1917808219178
Chelsea,626,212,33.8658146964856
Everton,633,207,32.7014218009479
Fulham,460,160,34.7826086956522
Liverpool,739,232,31.3937753721245
Man City,660,231,35
Man United,561,213,37.9679144385027
Newcastle,533,174,32.6454033771107
Norwich,413,134,32.4455205811138
QPR,500,146,29.2
Reading,394,128,32.48730964467
Southampton,516,167,32.3643410852713
Stoke,390,114,29.2307692307692
Sunderland,417,139,33.3333333333333
Swansea,504,167,33.1349206349206
Tottenham,681,241,35.3891336270191
West Brom,506,170,33.596837944664
West Ham,492,158,32.1138211382114
Wigan,500,170,34
