team,total_shots,total_on_target,shot_acc
Arsenal,572,210,36.71328671328671
Aston Villa,368,111,30.16304347826087
Bournemouth,463,144,31.101511879049674
Chelsea,526,173,32.88973384030418
Crystal Palace,466,152,32.61802575107296
Everton,492,175,35.56910569105691
Leicester,523,181,34.608030592734224
Liverpool,629,203,32.273449920508746
Man City,612,210,34.31372549019608
Man United,430,143,33.25581395348837
Newcastle,398,152,38.19095477386934
Norwich,416,126,30.288461538461537
Southampton,519,169,32.5626204238921
Stoke,418,130,31.100478468899524
Sunderland,439,143,32.57403189066059
Swansea,442,136,30.76923076923077
Tottenham,661,250,37.821482602118
Watford,445,136,30.56179775280899
West Brom,384,106,27.604166666666668
West Ham,556,184,33.093525179856115
