Team,total_scoring_att,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Chelsea,692,25,6,26541,2,57,3,71,18266,106,19,44,733,1141,2,392,18,96,,42,16
Manchester City,673,27,6,28341,2,72,1,102,20761,59,19,59,756,938,,411,16,88,,64,31
Liverpool,651,26,6,28172,6,54,1,101,19599,78,27,64,848,1339,5,427,10,107,1,36,29
Tottenham Hotspur,588,21,11,26241,3,66,4,55,17933,64,12,64,750,974,3,598,14,106,1,41,38
Newcastle United,579,15,19,24484,1,53,6,43,16087,78,14,45,736,1110,4,453,10,108,,51,21
Everton,561,21,8,26857,4,55,1,61,18301,80,14,28,744,1103,2,471,15,117,2,59,14
Southampton,534,15,12,28030,1,60,,54,19577,97,16,37,805,1201,1,522,15,85,,50,18
Manchester United,526,19,12,27367,1,66,3,64,18894,97,16,38,676,1382,1,491,13,103,,32,14
Arsenal,523,24,7,29825,2,53,4,68,21561,74,15,50,714,1207,3,367,17,116,1,70,27
Swansea City,496,11,18,29158,1,55,3,54,21113,76,7,20,674,1083,6,400,8,96,,45,20
Sunderland,491,10,20,21922,6,69,7,41,14457,70,10,29,702,903,3,411,11,160,,71,20
West Bromwich Albion,487,7,16,22866,2,67,,43,14704,91,6,35,701,1176,,514,7,114,2,65,14
Norwich City,467,8,21,22570,3,62,2,28,14762,48,15,37,675,1071,10,489,12,125,,72,11
Aston Villa,431,10,20,21453,4,78,,39,13856,84,11,27,747,1068,3,359,9,110,1,102,15
Fulham,431,9,24,22771,5,58,1,40,14674,86,11,45,702,1351,12,483,5,154,,71,21
Stoke City,428,13,14,23324,1,72,5,45,15324,81,14,36,791,1090,2,469,9,127,2,84,17
Hull City,427,10,21,22985,2,53,4,38,15267,86,16,31,723,1048,6,413,10,106,1,24,24
West Ham United,422,11,20,20511,1,62,5,40,12364,76,11,33,651,1401,8,371,14,151,,54,9
Cardiff City,418,7,22,22018,,49,1,32,14007,81,10,30,619,1268,5,490,7,157,,59,13
Crystal Palace,414,13,19,20309,2,58,2,33,11797,71,9,31,845,1409,4,361,12,119,,81,8
