Team,total_scoring_att,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Chelsea,745,21,9,27426,1,59,1,69,19236,113,21,70,769,762,7,573,15,,1,84,22
Tottenham Hotspur,657,16,8,25438,1,51,2,55,16791,59,15,51,754,1363,6,560,8,,2,68,50
Arsenal,654,19,8,28629,1,65,6,72,20150,93,23,88,772,1077,4,601,13,,2,56,25
Manchester United,618,23,4,26671,1,56,3,78,18870,102,15,50,693,1053,2,471,15,,,45,16
West Bromwich Albion,597,12,15,22224,5,52,7,56,14252,102,12,43,725,1088,8,524,2,,,38,23
Liverpool,582,17,14,24959,3,63,2,59,16734,87,12,43,908,1073,6,493,14,,,74,26
Everton,580,13,10,22628,2,55,5,51,14371,78,8,47,768,1265,2,525,9,,,51,30
West Ham United,572,7,19,21823,2,59,1,43,13367,120,18,44,783,1353,9,574,5,,1,39,41
Bolton Wanderers,570,12,16,21351,,67,5,52,12704,57,9,42,939,1466,10,418,5,,2,46,22
Fulham,547,11,11,24796,5,52,1,49,16345,100,10,38,799,1513,12,559,14,,1,82,37
Manchester City,546,21,9,25892,,71,5,60,17768,103,16,51,826,1206,2,520,18,2,1,66,27
Sunderland,532,12,15,22628,1,57,5,45,14166,98,10,35,820,1291,16,441,13,,,62,40
Blackpool,531,10,19,23616,5,47,2,55,15113,97,11,46,780,1616,16,499,6,3,,49,29
Wigan Athletic,511,9,14,23517,,67,4,40,15180,71,9,39,914,1196,5,540,7,,1,50,25
Newcastle United,507,11,14,22113,2,78,2,56,14204,82,10,62,666,1025,7,527,9,3,,56,26
Aston Villa,506,12,14,22681,1,71,2,48,14611,92,19,57,844,1116,7,350,7,,,30,25
Stoke City,482,13,18,18195,2,68,2,46,10349,74,20,39,716,1316,5,449,9,,2,64,20
Wolverhampton Wanderers,459,11,20,22772,2,62,2,46,14823,93,14,29,677,1205,7,426,5,,,84,19
Blackburn Rovers,453,11,17,19421,1,65,5,46,11178,87,10,44,748,1521,8,357,8,,,50,26
Birmingham City,401,8,15,21652,4,57,3,37,14036,91,11,30,668,1261,9,375,9,,1,71,21
