Team,total_scoring_att,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Tottenham Hotspur,669,26,4,28150,1,62,,86,20150,74,22,41,661,1003,1,484,17,85,,21,11
Liverpool,640,22,6,30071,,54,,78,22290,77,18,35,719,877,,472,12,73,2,36,26
Manchester City,633,23,6,30363,1,71,4,80,22706,89,20,48,643,905,4,465,12,64,2,26,20
Manchester United,591,18,5,28119,1,78,2,54,20245,99,19,50,690,1112,1,389,17,85,1,32,4
Chelsea,580,30,5,27658,1,72,,85,20125,64,17,32,652,839,3,436,16,69,,38,18
Arsenal,566,23,9,28931,1,68,3,77,21394,95,17,41,673,838,1,465,13,124,,36,10
Southampton,550,12,16,25881,1,59,2,41,18245,73,12,34,675,914,4,455,14,76,1,26,12
Everton,502,17,11,25309,1,72,2,62,17586,82,12,28,712,1118,9,469,13,96,2,56,19
West Ham United,499,12,17,22666,,78,5,47,15127,74,14,24,574,1074,3,367,10,117,1,47,11
AFC Bournemouth,452,12,16,24801,5,52,3,55,17152,53,19,31,604,1092,4,439,10,123,2,36,21
Crystal Palace,439,12,21,21533,,77,,50,13542,55,8,27,699,1022,7,496,7,108,,56,12
Leicester City,433,12,18,21051,2,72,1,48,13671,65,8,29,677,1025,2,310,9,131,,45,16
Stoke City,425,11,16,22087,5,70,2,41,14558,85,14,41,666,1009,5,415,11,127,1,40,23
Watford,422,11,20,21547,2,84,5,40,14049,61,7,25,618,1016,3,390,7,121,1,53,35
Swansea City,405,12,21,23728,5,56,,45,16131,49,10,25,635,1037,2,446,8,121,1,72,16
West Bromwich Albion,399,12,17,19042,1,80,,43,11825,59,11,24,605,999,3,445,6,116,,53,10
Hull City,397,9,22,22779,5,67,5,37,15596,71,10,18,631,1101,6,399,5,137,2,40,18
Burnley,391,11,20,19776,2,65,2,39,12558,101,5,18,638,1233,6,334,10,151,1,29,14
Sunderland,387,6,26,19639,2,78,4,29,12359,78,4,19,630,1170,5,388,6,176,,57,24
Middlesbrough,351,5,20,23067,,77,1,27,15736,51,6,19,727,1090,4,357,11,117,,39,17
