Team,total_scoring_att,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Chelsea,797,25,5,29962,1,50,3,68,19923,114,17,,773,1069,3,518,22,,1,111,35
Liverpool,736,25,2,29875,3,50,,77,19505,98,26,,927,1279,,470,20,,,61,19
Manchester United,715,28,4,30077,1,61,5,68,19416,99,9,,741,1322,3,579,24,,,56,22
Arsenal,662,20,6,29877,3,58,3,68,18991,88,22,,875,1280,9,692,16,,2,65,26
Wigan Athletic,590,12,17,23012,1,59,4,34,12331,101,10,,934,1636,10,445,13,2,1,38,20
Manchester City,572,15,18,26120,2,49,4,58,15971,79,11,,939,1496,7,578,10,,1,54,34
West Bromwich Albion,559,8,22,24904,,67,1,36,14518,101,16,,803,1477,5,581,8,,,60,24
Tottenham Hotspur,544,14,15,26576,2,54,5,45,15723,85,7,,781,1511,6,538,13,,,69,56
West Ham United,515,14,15,25662,2,66,4,42,15316,130,12,,896,1601,7,601,10,,2,65,37
Fulham,511,14,13,26263,,40,1,39,16108,92,11,,812,1632,8,467,15,2,1,70,44
Portsmouth,500,10,17,25414,,58,5,38,14497,81,19,,922,1552,9,601,8,,1,79,26
Middlesbrough,498,7,20,23322,6,55,3,28,13124,121,7,,784,1582,5,540,7,,,85,18
Everton,496,17,9,25205,2,49,1,55,15024,99,12,,775,1602,4,584,17,,,74,25
Bolton Wanderers,488,11,19,20876,2,62,1,41,10649,71,7,,890,1880,5,448,7,,1,42,28
Hull City,476,8,19,21712,4,71,3,39,11809,141,9,,811,1677,4,490,6,,1,56,22
Blackburn Rovers,473,10,17,23450,2,74,4,40,13436,119,13,,824,1649,9,372,10,,,48,36
Sunderland,473,9,20,24442,2,69,1,34,14144,96,10,,888,1596,4,491,9,,1,58,27
Aston Villa,472,17,10,23020,,54,2,54,12419,85,15,,982,1764,4,536,13,,,32,26
Newcastle United,444,7,18,24327,2,57,8,40,14172,73,12,,735,1278,5,659,7,,1,40,24
Stoke City,364,12,17,18693,2,73,5,38,9478,65,11,,688,1555,7,438,12,,,85,41
