Team,total_scoring_att,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Manchester City,738,28,5,28620,2,51,5,93,20863,85,21,65,694,930,6,480,17,1,1,39,21
Tottenham Hotspur,701,20,9,27761,1,43,3,66,19564,93,12,62,733,1045,6,539,14,,,28,12
Chelsea,671,18,10,26276,1,74,4,65,18766,70,20,37,698,881,10,571,10,1,,70,17
Liverpool,667,14,14,26450,3,53,5,47,18797,128,33,66,728,720,2,440,12,,1,22,19
Manchester United,646,28,5,28113,2,51,1,89,20184,89,17,64,803,1165,3,521,20,,1,37,26
Arsenal,637,21,10,28338,5,64,4,74,20599,88,15,74,751,766,3,587,13,,1,52,27
West Bromwich Albion,544,13,17,22205,2,48,1,45,14691,128,13,34,683,960,7,419,10,4,2,60,19
Fulham,541,14,14,24891,2,54,,48,17669,85,24,38,669,1005,4,469,11,,,69,26
Queens Park Rangers,539,10,21,21309,2,54,9,43,13383,83,15,23,764,1412,8,429,7,,,26,22
Everton,520,15,12,22706,3,60,2,50,15063,116,12,43,624,1130,2,487,12,2,2,57,25
Wigan Athletic,519,11,17,22957,1,67,3,42,15731,71,13,41,729,925,3,414,8,,4,42,23
Norwich City,514,12,15,22830,1,58,3,52,15165,74,7,30,692,1451,9,379,3,,2,56,20
Bolton Wanderers,495,10,22,21694,1,50,5,46,13580,55,8,25,732,1255,8,442,3,,1,58,16
Newcastle United,489,19,11,22210,,67,2,56,14638,97,19,27,744,987,12,592,15,1,2,59,23
Wolverhampton Wanderers,473,5,23,22585,2,64,4,40,14860,82,10,29,619,1178,6,425,4,9,2,81,22
Swansea City,472,12,15,28300,2,40,2,44,20795,67,14,36,709,1048,3,518,14,,2,69,22
Sunderland,458,11,15,21770,2,60,4,45,13913,76,11,39,824,1158,8,423,12,,1,65,26
Blackburn Rovers,453,8,23,20036,4,66,5,48,12424,58,10,37,690,1328,6,370,3,,1,53,10
Aston Villa,438,7,14,21017,2,70,2,37,13158,85,9,39,774,1301,8,300,9,,,41,15
Stoke City,376,11,15,18938,3,60,2,36,10836,62,7,33,655,1910,4,460,9,15,,68,23
