Team,punches,total_high_claim,penalty_save,saves,clean_sheet,dispossessed,clearance_off_line,total_clearance,total_tackle,big_chance_missed,hit_woodwork,total_offside,total_scoring_att,total_pass,goals,total_red_card,total_yel_card,own_goals,touches,losses,wins
Arsenal,27,88,,6,12,,1,1202,998,,19,111,638,18458,63,3,59,1,25592,8,19
Aston Villa,26,57,,1,13,,5,1212,936,,9,147,470,13254,43,1,48,1,20002,10,11
Blackburn Rovers,25,56,5,22,8,,8,1095,864,,5,142,478,14033,52,6,77,2,20812,16,15
Bolton Wanderers,21,44,2,13,12,,6,1037,811,,7,95,404,12400,47,4,84,3,18932,14,16
Charlton Athletic,13,50,2,5,11,,7,1483,919,,11,96,418,12722,34,4,56,2,19497,20,8
Chelsea,22,74,1,4,22,,2,1206,982,,14,127,636,16759,64,4,62,1,24010,3,24
Everton,15,83,1,5,14,,2,1386,860,,9,81,465,12274,52,2,65,3,19250,10,15
Fulham,22,45,1,12,7,,6,1386,901,,8,94,451,11820,38,3,56,2,18720,15,8
Liverpool,27,51,,1,20,,1,1115,969,,15,120,668,17154,57,,44,,24150,10,20
Manchester City,17,64,1,,14,,4,1213,986,,5,142,454,12765,29,4,59,2,19378,18,11
Manchester United,25,37,2,2,16,,1,1222,890,,21,80,698,18723,83,1,60,1,25686,5,28
Middlesbrough,37,78,,18,9,,5,1243,841,,7,89,454,12779,44,2,64,1,19199,16,12
Newcastle United,26,48,,5,7,,9,1004,965,,11,102,454,14628,38,1,65,2,21213,17,11
Portsmouth,30,79,2,14,12,,4,1164,948,,9,141,525,12616,45,1,48,,19377,12,14
Reading,21,63,,4,13,,2,1022,855,,8,87,419,11232,52,3,38,3,18017,15,16
Sheffield United,21,43,1,3,9,,8,1217,917,,14,82,483,11123,32,2,68,2,17713,20,10
Tottenham Hotspur,24,51,,11,6,,2,1412,995,,6,149,520,14914,57,3,48,2,22200,12,17
Watford,15,63,,17,9,,3,1179,744,,10,122,418,10175,29,2,45,5,16772,20,5
West Ham United,25,64,,4,9,,5,1232,860,,8,92,461,13178,35,2,85,2,20040,21,12
Wigan Athletic,29,61,2,13,10,,4,1206,809,,9,84,474,11353,37,3,73,5,17564,20,10
