Team,total_scoring_att,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Manchester City,670,24,7,29652,3,77,2,83,22107,78,18,42,751,872,1,546,14,93,1,52,31
Arsenal,610,22,7,29045,1,68,2,71,20527,64,13,51,739,1006,2,476,13,96,,76,13
Liverpool,590,18,12,27351,2,66,3,52,19374,75,12,34,798,1175,3,468,14,93,2,38,41
Chelsea,564,26,3,27861,1,73,4,73,20268,75,15,40,759,1027,2,476,17,90,,73,13
Queens Park Rangers,534,8,24,21907,4,75,3,42,13659,81,16,39,781,1445,6,468,6,142,2,57,20
Tottenham Hotspur,527,19,12,27495,2,79,4,58,19322,77,11,39,815,1047,1,552,9,119,1,51,28
Manchester United,512,20,8,29044,1,64,5,62,21311,87,11,43,739,1118,5,393,11,100,1,33,7
Southampton,509,18,14,25815,,57,3,54,18184,93,17,44,813,875,4,422,15,80,,50,15
Stoke City,500,15,14,23427,,82,1,48,15386,75,9,32,729,1159,3,428,9,96,,68,12
West Ham United,488,12,15,21793,2,64,2,44,13568,91,13,37,647,1474,3,404,9,133,3,52,15
Everton,483,12,15,26729,2,66,2,48,18809,83,11,32,657,1280,3,461,10,80,,71,24
Newcastle United,468,10,19,23375,1,65,7,40,15019,38,6,34,824,1020,3,466,8,98,,53,21
Leicester City,456,11,19,21547,5,49,4,46,13343,60,12,44,791,1177,2,355,10,124,,38,26
Crystal Palace,441,13,16,20386,,63,4,47,12071,77,14,25,791,1270,7,325,7,94,2,77,9
Burnley,430,7,19,21624,2,64,2,28,13632,64,13,27,615,1458,8,345,10,128,2,53,15
Hull City,428,8,19,22464,,73,6,33,14864,72,11,22,763,1316,7,443,10,102,2,36,23
Swansea City,426,16,14,25645,1,48,5,46,17877,80,12,35,634,1203,3,363,13,141,,91,31
Aston Villa,418,10,20,23785,1,70,7,31,16527,70,5,26,623,1130,2,413,10,112,,77,18
West Bromwich Albion,412,11,16,21820,,64,3,38,14445,65,10,25,696,1084,4,507,16,131,1,76,13
Sunderland,408,7,14,22036,5,94,2,31,14451,69,11,23,759,994,3,411,13,144,,82,17
