Team,total_scoring_att,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Tottenham Hotspur,659,19,6,27014,3,72,,69,18649,72,19,47,805,1046,2,581,13,89,,38,27
Liverpool,629,16,10,27890,1,61,3,63,19733,91,16,36,871,871,2,560,11,81,1,41,18
Manchester City,615,19,10,28396,1,61,,71,20488,63,15,50,729,940,2,556,16,86,,38,41
Arsenal,571,20,7,29337,3,40,4,65,21249,86,21,69,709,849,3,511,18,118,,45,20
West Ham United,558,16,8,23104,2,58,5,65,15031,82,19,39,711,1003,8,389,11,111,2,50,19
Chelsea,526,12,12,27362,2,58,5,59,19664,90,4,33,790,790,4,413,9,122,1,54,27
Leicester City,522,23,3,21710,,48,3,68,13370,50,11,61,869,1040,7,366,15,99,,49,22
Southampton,519,18,11,23716,,57,6,59,15913,98,13,43,714,1101,6,425,12,94,,36,12
Everton,491,11,13,25741,1,44,5,59,17947,55,18,49,730,994,4,453,10,127,,53,14
Crystal Palace,469,11,18,21861,4,60,2,39,13785,81,12,36,649,963,4,467,8,122,,43,5
AFC Bournemouth,464,11,18,25291,,53,1,45,17270,66,8,25,709,951,2,410,7,90,2,58,12
Watford,446,12,17,22363,2,73,3,40,14530,52,9,31,794,931,2,391,11,121,3,67,66
Swansea City,441,12,15,25989,5,60,1,42,18169,82,14,31,638,1058,2,465,9,119,,85,34
Sunderland,439,9,17,20339,1,64,2,48,12799,88,10,29,767,1277,7,376,7,156,,64,19
Manchester United,430,19,10,27542,2,65,1,49,20070,75,9,28,760,755,4,522,18,90,,29,13
Stoke City,419,14,15,23663,,51,4,41,16342,103,5,35,710,826,3,359,10,121,,59,15
Norwich City,418,9,22,21936,2,61,3,39,14483,93,11,30,608,1212,4,426,5,103,,63,20
Newcastle United,397,9,19,22993,2,60,5,44,15118,59,6,26,793,939,2,435,8,115,1,70,31
West Bromwich Albion,388,10,15,19822,3,65,3,34,12262,68,10,28,642,992,5,480,11,109,,54,14
Aston Villa,380,3,27,23234,4,75,3,27,15308,42,7,20,731,973,5,338,6,116,1,66,28
