Team,total_scoring_att,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Manchester City,683,32,4,33593,,44,1,95,26581,98,21,71,518,543,2,393,20,58,,20,6
Chelsea,607,21,8,32358,,49,,63,25070,83,21,61,618,593,3,458,16,85,1,16,11
Liverpool,575,30,1,30897,,38,2,89,23638,77,19,54,610,639,1,424,21,76,,17,17
Tottenham Hotspur,537,23,13,28688,3,56,3,67,21295,74,13,52,626,770,4,351,13,121,2,16,23
Manchester United,526,19,10,26476,3,73,4,65,19202,90,9,61,581,785,2,424,7,122,,10,13
Leicester City,515,15,16,25054,,57,5,51,17219,72,10,46,676,945,1,357,10,90,,13,16
Everton,498,15,14,24496,2,55,4,54,16494,69,16,50,700,825,1,466,14,94,3,14,14
Crystal Palace,493,14,17,23211,1,58,2,51,15243,78,16,38,730,940,2,472,12,113,1,28,26
Southampton,483,9,17,22109,3,71,3,45,14297,61,13,50,699,1068,4,378,7,114,1,20,20
Wolverhampton Wanderers,477,16,13,23969,4,72,1,47,16618,73,14,48,720,824,3,401,9,100,,16,8
Arsenal,467,21,10,28126,2,72,2,73,20805,89,9,50,609,762,3,409,8,133,,16,19
Fulham,454,7,26,25208,2,68,2,34,17699,90,13,45,591,971,1,483,5,147,1,9,30
AFC Bournemouth,446,13,19,23367,3,60,1,56,15943,57,12,57,526,1019,4,355,10,110,,29,8
Newcastle United,446,12,17,21317,1,57,2,42,13490,59,14,32,714,1120,6,402,11,95,,45,15
West Ham United,441,15,16,24044,2,59,1,52,16358,72,13,33,723,855,2,390,7,148,1,29,17
Watford,437,14,16,22878,3,77,4,52,15462,89,9,54,655,956,3,419,7,127,1,32,11
Cardiff City,417,10,24,17503,,66,1,34,10226,77,14,32,655,978,5,332,10,141,3,15,11
Huddersfield Town,400,3,28,23238,1,55,4,22,15902,63,11,24,710,658,5,399,5,114,1,30,21
Brighton and Hove Albion,371,9,20,21447,,60,4,35,14109,90,6,23,681,921,7,335,7,111,,21,9
Burnley,360,11,20,20291,4,75,1,45,13011,106,12,41,583,1080,12,315,8,140,1,15,11
