Team,total_scoring_att,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Manchester City,665,32,2,35130,2,59,2,106,28241,67,23,63,563,588,4,406,18,62,2,21,15
Liverpool,638,21,5,30324,,44,1,84,22962,70,16,61,637,736,2,447,17,67,2,25,20
Tottenham Hotspur,623,23,7,29412,1,50,2,74,21660,88,13,50,618,825,1,460,16,93,,20,21
Chelsea,606,21,10,28728,2,42,4,62,21264,108,11,48,636,768,3,415,16,83,,27,12
Arsenal,594,19,13,30635,,57,2,74,23524,89,17,57,623,829,5,412,13,100,1,39,24
Manchester United,512,25,7,27525,2,64,1,68,20064,88,16,42,564,853,4,399,19,118,,20,6
Crystal Palace,476,11,16,22434,2,72,,45,14372,56,8,55,685,1022,6,482,9,122,,39,11
AFC Bournemouth,465,11,16,23634,1,55,1,45,16131,52,10,24,508,1037,6,419,6,111,1,37,20
Newcastle United,451,12,18,21506,3,52,2,39,14028,63,12,33,644,1125,7,410,9,105,2,40,18
Southampton,450,7,16,24639,1,63,2,37,17174,73,15,37,658,953,4,379,8,110,1,29,13
Watford,440,11,19,23127,1,63,4,44,15654,74,8,36,668,953,5,410,9,95,,25,28
Leicester City,423,12,15,22770,2,52,5,56,15200,92,8,35,630,920,4,358,9,107,2,29,23
Brighton and Hove Albion,384,9,16,21668,5,54,2,34,14675,98,8,30,599,1085,10,296,10,124,2,38,14
Stoke City,384,7,19,20368,2,62,1,35,12892,87,8,33,678,1164,3,402,6,152,,27,14
Burnley,378,14,12,20732,1,65,,36,13572,100,9,22,533,1184,5,344,12,122,1,60,19
West Bromwich Albion,378,6,19,20552,2,73,1,31,13218,79,7,28,604,993,3,446,10,102,,40,5
West Ham United,372,10,16,21928,1,73,2,48,14369,97,14,29,621,1007,4,390,10,122,1,19,19
Huddersfield Town,362,9,19,22619,1,62,3,28,14960,67,8,21,744,1070,6,416,10,103,2,31,24
Everton,359,13,15,22298,1,51,3,44,14749,82,7,36,644,1229,6,381,10,121,1,28,23
Swansea City,338,8,21,22775,2,51,1,28,15721,38,8,26,610,943,1,439,9,137,3,44,15
