team,total_shots,total_on_target,shot_acc
Arsenal,530,208,39.2452830188679
Aston Villa,414,182,43.9613526570048
Birmingham,349,143,40.974212034384
Blackburn,448,185,41.2946428571429
Bolton,390,149,38.2051282051282
Chelsea,497,199,40.0402414486921
Derby,335,116,34.6268656716418
Everton,420,169,40.2380952380952
Fulham,384,154,40.1041666666667
Liverpool,607,214,35.2553542009885
Man City,374,143,38.2352941176471
Man United,620,260,41.9354838709677
Middlesbrough,412,152,36.8932038834951
Newcastle,415,153,36.8674698795181
Portsmouth,501,160,31.936127744511
Reading,369,132,35.7723577235772
Sunderland,401,137,34.1645885286783
Tottenham,493,195,39.553752535497
West Ham,426,154,36.150234741784
Wigan,398,141,35.427135678392
