team,total_shots,total_on_target,shot_acc
Arsenal,467,170,36.4025695931477
Bournemouth,446,163,36.5470852017937
Brighton and Hove Albion,371,108,29.1105121293801
Burnley,360,116,32.2222222222222
Cardiff City,417,126,30.2158273381295
Chelsea,607,198,32.6194398682043
Crystal Palace,493,148,30.0202839756592
Everton,498,169,33.9357429718875
Fulham,454,146,32.15859030837
Huddersfield Town,400,118,29.5
Leicester City,515,184,35.7281553398058
Liverpool,575,226,39.3043478260869
Manchester City,683,260,38.0673499267936
Manchester United,526,225,42.7756653992395
Newcastle United,446,142,31.8385650224215
Southampton,483,162,33.5403726708074
Tottenham Hotspur,537,190,35.3817504655493
Watford,437,152,34.7826086956522
West Ham United,441,157,35.6009070294785
Wolverhampton Wanderers,477,152,31.8658280922432
