team,total_shots,total_on_target,shot_acc
Arsenal,537,276,51.39664804469274
Aston Villa,404,211,52.22772277227723
Blackburn,418,208,49.760765550239235
Bolton,350,184,52.57142857142857
Charlton,351,168,47.863247863247864
Chelsea,522,271,51.91570881226054
Everton,393,199,50.63613231552163
Fulham,367,179,48.77384196185286
Liverpool,592,286,48.310810810810814
Man City,394,203,51.52284263959391
Man United,627,342,54.54545454545454
Middlesbrough,384,192,50.0
Newcastle,405,211,52.09876543209877
Portsmouth,453,234,51.65562913907284
Reading,353,170,48.1586402266289
Sheffield United,402,202,50.24875621890548
Tottenham,442,237,53.619909502262445
Watford,344,172,50.0
West Ham,397,201,50.62972292191436
Wigan,418,205,49.04306220095694
