team,total_shots,total_on_target,shot_acc
Arsenal,612,228,37.254901960784316
Aston Villa,414,127,30.676328502415455
Burnley,429,125,29.13752913752914
Chelsea,563,210,37.300177619893425
Crystal Palace,438,139,31.7351598173516
Everton,484,166,34.29752066115703
Hull,429,131,30.536130536130536
Leicester,457,137,29.978118161925604
Liverpool,590,194,32.88135593220339
Man City,668,228,34.13173652694611
Man United,509,179,35.16699410609037
Newcastle,467,143,30.620985010706637
QPR,533,151,28.330206378986865
Southampton,506,170,33.59683794466403
Stoke,501,136,27.14570858283433
Sunderland,404,129,31.93069306930693
Swansea,422,147,34.834123222748815
Tottenham,524,172,32.82442748091603
West Brom,411,130,31.630170316301705
West Ham,485,152,31.34020618556701
