team,total_shots,total_on_target,shot_acc
Arsenal,471,273,57.961783439490446
Aston Villa,445,230,51.68539325842697
Birmingham,328,176,53.65853658536586
Blackburn,451,232,51.44124168514412
Bolton,533,290,54.409005628517825
Charlton,384,200,52.083333333333336
Chelsea,481,244,50.72765072765073
Everton,430,215,50.0
Fulham,402,221,54.975124378109456
Leeds,362,181,50.0
Leicester,366,214,58.46994535519126
Liverpool,558,300,53.76344086021505
Man City,515,292,56.699029126213595
Man United,494,284,57.48987854251012
Middlesbrough,461,254,55.09761388286334
Newcastle,448,262,58.48214285714286
Portsmouth,403,217,53.84615384615385
Southampton,457,265,57.98687089715536
Tottenham,421,234,55.58194774346793
Wolves,398,191,47.98994974874372
