team,total_shots,total_on_target,shot_acc
Arsenal,524,210,40.0763358778626
Aston Villa,430,134,31.16279069767442
Cardiff,419,126,30.071599045346066
Chelsea,693,228,32.900432900432904
Crystal Palace,414,143,34.54106280193236
Everton,560,195,34.82142857142857
Fulham,431,149,34.5707656612529
Hull,425,129,30.352941176470587
Liverpool,650,259,39.84615384615385
Man City,673,238,35.36404160475483
Man United,525,181,34.476190476190474
Newcastle,579,184,31.77892918825561
Norwich,464,146,31.46551724137931
Southampton,531,177,33.33333333333333
Stoke,425,139,32.70588235294118
Sunderland,490,137,27.95918367346939
Swansea,494,163,32.99595141700405
Tottenham,584,189,32.36301369863014
West Brom,485,145,29.896907216494846
West Ham,418,119,28.4688995215311
