team,total_shots,total_on_target,shot_acc
Arsenal,498,296,59.43775100401606
Aston Villa,482,233,48.3402489626556
Birmingham,339,169,49.852507374631266
Blackburn,429,221,51.515151515151516
Bolton,423,211,49.881796690307326
Charlton,358,205,57.262569832402235
Chelsea,473,258,54.54545454545454
Everton,437,239,54.69107551487414
Fulham,364,182,50.0
Leeds,413,210,50.847457627118644
Liverpool,505,284,56.237623762376245
Man City,441,243,55.10204081632652
Man United,531,308,58.00376647834275
Middlesboro,389,184,47.30077120822622
Newcastle,489,284,58.077709611451944
Southampton,460,227,49.34782608695652
Sunderland,324,163,50.308641975308646
Tottenham,396,214,54.04040404040404
West Brom,375,187,49.86666666666667
West Ham,394,193,48.984771573604064
