team,total_shots,total_on_target,shot_acc
Arsenal,518,261,50.38610038610039
Aston Villa,382,189,49.47643979057592
Blackburn,442,213,48.19004524886878
Bolton,366,160,43.71584699453552
Charlton,371,178,47.97843665768194
Chelsea,486,215,44.23868312757202
Derby,294,139,47.27891156462585
Everton,384,195,50.78125
Fulham,379,157,41.42480211081794
Ipswich,402,189,47.01492537313433
Leeds,470,235,50.0
Leicester,304,158,51.973684210526315
Liverpool,426,214,50.23474178403756
Man United,539,256,47.49536178107607
Middlesbrough,312,130,41.66666666666667
Newcastle,464,223,48.060344827586206
Southampton,357,167,46.778711484593835
Sunderland,434,202,46.54377880184332
Tottenham,412,178,43.203883495145625
West Ham,419,198,47.25536992840095
